cnty_fips,county,state,Value,theme_range
13039,Camden,Georgia,52714,36769.1 - 91049 (644)
13049,Charlton,Georgia,12983,9055.1 - 19054 (644)
13051,Chatham,Georgia,287049,91049.1 - 10098052 (644)
13061,Clay,Georgia,3001,75 - 9055 (644)
13065,Clinch,Georgia,6743,75 - 9055 (644)
13069,Coffee,Georgia,42961,36769.1 - 91049 (644)
13071,Colquitt,Georgia,45606,36769.1 - 91049 (644)
13075,Cook,Georgia,17184,9055.1 - 19054 (644)
13081,Crisp,Georgia,22846,19054.1 - 36769 (644)
13087,Decatur,Georgia,26833,19054.1 - 36769 (644)
13095,Dougherty,Georgia,91049,36769.1 - 91049 (644)
13099,Early,Georgia,10348,9055.1 - 19054 (644)
13101,Echols,Georgia,3994,75 - 9055 (644)
13127,Glynn,Georgia,83974,36769.1 - 91049 (644)
13131,Grady,Georgia,24926,19054.1 - 36769 (644)
13155,Irwin,Georgia,9268,9055.1 - 19054 (644)
13161,Jeff Davis,Georgia,14991,9055.1 - 19054 (644)
13173,Lanier,Georgia,10366,9055.1 - 19054 (644)
13177,Lee,Georgia,29348,19054.1 - 36769 (644)
13179,Liberty,Georgia,62108,36769.1 - 91049 (644)
13183,Long,Georgia,18156,9055.1 - 19054 (644)
13185,Lowndes,Georgia,114582,91049.1 - 10098052 (644)
13191,McIntosh,Georgia,14120,9055.1 - 19054 (644)
13201,Miller,Georgia,5836,75 - 9055 (644)
13205,Mitchell,Georgia,22432,19054.1 - 36769 (644)
13229,Pierce,Georgia,19164,19054.1 - 36769 (644)
13239,Quitman,Georgia,2276,75 - 9055 (644)
13243,Randolph,Georgia,7087,75 - 9055 (644)
13253,Seminole,Georgia,8437,75 - 9055 (644)
13259,Stewart,Georgia,6042,75 - 9055 (644)
13261,Sumter,Georgia,30352,19054.1 - 36769 (644)
13267,Tattnall,Georgia,25353,19054.1 - 36769 (644)
13271,Telfair,Georgia,16115,9055.1 - 19054 (644)
13273,Terrell,Georgia,8859,75 - 9055 (644)
13275,Thomas,Georgia,44730,36769.1 - 91049 (644)
13277,Tift,Georgia,40510,36769.1 - 91049 (644)
13287,Turner,Georgia,7962,75 - 9055 (644)
13299,Ware,Georgia,35599,19054.1 - 36769 (644)
13305,Wayne,Georgia,29767,19054.1 - 36769 (644)
13307,Webster,Georgia,2613,75 - 9055 (644)
13309,Wheeler,Georgia,7939,75 - 9055 (644)
13315,Wilcox,Georgia,8846,75 - 9055 (644)
13321,Worth,Georgia,20656,19054.1 - 36769 (644)
22001,Acadia,Louisiana,62568,36769.1 - 91049 (644)
22003,Allen,Louisiana,25661,19054.1 - 36769 (644)
22005,Ascension,Louisiana,121176,91049.1 - 10098052 (644)
22007,Assumption,Louisiana,22714,19054.1 - 36769 (644)
22009,Avoyelles,Louisiana,40882,36769.1 - 91049 (644)
22011,Beauregard,Louisiana,36769,19054.1 - 36769 (644)
22019,Calcasieu,Louisiana,200182,91049.1 - 10098052 (644)
22021,Caldwell,Louisiana,9996,9055.1 - 19054 (644)
22023,Cameron,Louisiana,6868,75 - 9055 (644)
22025,Catahoula,Louisiana,9893,9055.1 - 19054 (644)
22029,Concordia,Louisiana,20021,19054.1 - 36769 (644)
22033,East Baton Rouge,Louisiana,444094,91049.1 - 10098052 (644)
22037,East Feliciana,Louisiana,19499,19054.1 - 36769 (644)
22039,Evangeline,Louisiana,33636,19054.1 - 36769 (644)
22043,Grant,Louisiana,22348,19054.1 - 36769 (644)
22045,Iberia,Louisiana,72691,36769.1 - 91049 (644)
22047,Iberville,Louisiana,32956,19054.1 - 36769 (644)
22051,Jefferson,Louisiana,435300,91049.1 - 10098052 (644)
22053,Jefferson Davis,Louisiana,31467,19054.1 - 36769 (644)
22055,Lafayette,Louisiana,240091,91049.1 - 10098052 (644)
22057,Lafourche,Louisiana,98214,91049.1 - 10098052 (644)
22059,La Salle,Louisiana,14949,9055.1 - 19054 (644)
22063,Livingston,Louisiana,138111,91049.1 - 10098052 (644)
22069,Natchitoches,Louisiana,38963,36769.1 - 91049 (644)
22071,Orleans,Louisiana,389648,91049.1 - 10098052 (644)
22075,Plaquemines,Louisiana,23373,19054.1 - 36769 (644)
22077,Pointe Coupee,Louisiana,22158,19054.1 - 36769 (644)
22079,Rapides,Louisiana,131546,91049.1 - 10098052 (644)
22081,Red River,Louisiana,8618,75 - 9055 (644)
22085,Sabine,Louisiana,24088,19054.1 - 36769 (644)
22087,St. Bernard,Louisiana,45694,36769.1 - 91049 (644)
22089,St. Charles,Louisiana,52724,36769.1 - 91049 (644)
22091,St. Helena,Louisiana,10411,9055.1 - 19054 (644)
22093,St. James,Louisiana,21357,19054.1 - 36769 (644)
22095,St. John the Baptist,Louisiana,43446,36769.1 - 91049 (644)
22097,St. Landry,Louisiana,83449,36769.1 - 91049 (644)
22099,St. Martin,Louisiana,53752,36769.1 - 91049 (644)
22101,St. Mary,Louisiana,51734,36769.1 - 91049 (644)
22103,St. Tammany,Louisiana,252093,91049.1 - 10098052 (644)
22105,Tangipahoa,Louisiana,130504,91049.1 - 10098052 (644)
22107,Tensas,Louisiana,4666,75 - 9055 (644)
22109,Terrebonne,Louisiana,112587,91049.1 - 10098052 (644)
22113,Vermilion,Louisiana,59867,36769.1 - 91049 (644)
22115,Vernon,Louisiana,51007,36769.1 - 91049 (644)
22117,Washington,Louisiana,46457,36769.1 - 91049 (644)
22121,West Baton Rouge,Louisiana,25860,19054.1 - 36769 (644)
22125,West Feliciana,Louisiana,15377,9055.1 - 19054 (644)
22127,Winn,Louisiana,14494,9055.1 - 19054 (644)
28001,Adams,Mississippi,31547,19054.1 - 36769 (644)
28005,Amite,Mississippi,12468,9055.1 - 19054 (644)
28021,Claiborne,Mississippi,9120,9055.1 - 19054 (644)
28023,Clarke,Mississippi,15928,9055.1 - 19054 (644)
28029,Copiah,Mississippi,28721,19054.1 - 36769 (644)
28031,Covington,Mississippi,19091,19054.1 - 36769 (644)
28035,Forrest,Mississippi,75517,36769.1 - 91049 (644)
28037,Franklin,Mississippi,7757,75 - 9055 (644)
28039,George,Mississippi,23710,19054.1 - 36769 (644)
28041,Greene,Mississippi,13714,9055.1 - 19054 (644)
28045,Hancock,Mississippi,46653,36769.1 - 91049 (644)
28047,Harrison,Mississippi,202626,91049.1 - 10098052 (644)
28059,Jackson,Mississippi,142014,91049.1 - 10098052 (644)
28061,Jasper,Mississippi,16529,9055.1 - 19054 (644)
28063,Jefferson,Mississippi,7346,75 - 9055 (644)
28065,Jefferson Davis,Mississippi,11495,9055.1 - 19054 (644)
28067,Jones,Mississippi,68454,36769.1 - 91049 (644)
28073,Lamar,Mississippi,61223,36769.1 - 91049 (644)
28077,Lawrence,Mississippi,12630,9055.1 - 19054 (644)
28085,Lincoln,Mississippi,34432,19054.1 - 36769 (644)
28091,Marion,Mississippi,25202,19054.1 - 36769 (644)
28109,Pearl River,Mississippi,55149,36769.1 - 91049 (644)
28111,Perry,Mississippi,12028,9055.1 - 19054 (644)
28113,Pike,Mississippi,39737,36769.1 - 91049 (644)
28127,Simpson,Mississippi,27073,19054.1 - 36769 (644)
28129,Smith,Mississippi,16063,9055.1 - 19054 (644)
28131,Stone,Mississippi,18375,9055.1 - 19054 (644)
28147,Walthall,Mississippi,14601,9055.1 - 19054 (644)
28153,Wayne,Mississippi,20422,19054.1 - 36769 (644)
28157,Wilkinson,Mississippi,8990,75 - 9055 (644)
1007,Bibb,Alabama,22527,19054.1 - 36769 (644)
1033,Colbert,Alabama,54495,36769.1 - 91049 (644)
1057,Fayette,Alabama,16585,9055.1 - 19054 (644)
1059,Franklin,Alabama,31542,19054.1 - 36769 (644)
1063,Greene,Alabama,8426,75 - 9055 (644)
1065,Hale,Alabama,14887,9055.1 - 19054 (644)
1075,Lamar,Alabama,13933,9055.1 - 19054 (644)
1077,Lauderdale,Alabama,92585,91049.1 - 10098052 (644)
1079,Lawrence,Alabama,33171,19054.1 - 36769 (644)
1091,Marengo,Alabama,19538,19054.1 - 36769 (644)
1093,Marion,Alabama,29965,19054.1 - 36769 (644)
1105,Perry,Alabama,9486,9055.1 - 19054 (644)
1107,Pickens,Alabama,20298,19054.1 - 36769 (644)
1119,Sumter,Alabama,12985,9055.1 - 19054 (644)
1125,Tuscaloosa,Alabama,206213,91049.1 - 10098052 (644)
1127,Walker,Alabama,64493,36769.1 - 91049 (644)
1133,Winston,Alabama,23875,19054.1 - 36769 (644)
5001,Arkansas,Arizona,18124,9055.1 - 19054 (644)
5003,Ashley,Arizona,20537,19054.1 - 36769 (644)
5005,Baxter,Arizona,41219,36769.1 - 91049 (644)
5009,Boone,Arizona,37288,36769.1 - 91049 (644)
5011,Bradley,Arizona,10948,9055.1 - 19054 (644)
5013,Calhoun,Arizona,5202,75 - 9055 (644)
5015,Carroll,Arizona,27887,19054.1 - 36769 (644)
5017,Chicot,Arizona,10826,9055.1 - 19054 (644)
5019,Clark,Arizona,22385,19054.1 - 36769 (644)
5021,Clay,Arizona,15061,9055.1 - 19054 (644)
5023,Cleburne,Arizona,25230,19054.1 - 36769 (644)
5025,Cleveland,Arizona,8226,75 - 9055 (644)
5027,Columbia,Arizona,23892,19054.1 - 36769 (644)
5029,Conway,Arizona,20906,19054.1 - 36769 (644)
5031,Craighead,Arizona,105701,91049.1 - 10098052 (644)
5035,Crittenden,Arizona,49013,36769.1 - 91049 (644)
5037,Cross,Arizona,16998,9055.1 - 19054 (644)
5039,Dallas,Arizona,7432,75 - 9055 (644)
5041,Desha,Arizona,11887,9055.1 - 19054 (644)
5043,Drew,Arizona,18502,9055.1 - 19054 (644)
5045,Faulkner,Arizona,122416,91049.1 - 10098052 (644)
